,price,time
0,32533.1,2021-07-13 17:13:01.414
16,32546.65,2021-07-13 17:13:22.400
59,32545.7,2021-07-13 17:13:48.000
80,32549.0,2021-07-13 17:13:59.372
123,32570.75,2021-07-13 17:14:21.723
165,32552.55,2021-07-13 17:14:43.433
208,32550.5,2021-07-13 17:15:01.252
250,32551.75,2021-07-13 17:15:27.308
293,32557.75,2021-07-13 17:15:49.621
314,32557.75,2021-07-13 17:16:00.473
356,32517.5,2021-07-13 17:16:22.415
398,32512.05,2021-07-13 17:16:44.320
434,32503.45,2021-07-13 17:17:01.283
476,32517.35,2021-07-13 17:17:22.506
497,32531.15,2021-07-13 17:17:39.314
538,32521.4,2021-07-13 17:18:00.532
580,32521.55,2021-07-13 17:18:22.608
622,32537.05,2021-07-13 17:18:44.568
664,32538.7,2021-07-13 17:19:02.057
707,32541.75,2021-07-13 17:19:28.465
728,32540.75,2021-07-13 17:19:39.314
771,32525.4,2021-07-13 17:19:59.714
814,32518.0,2021-07-13 17:20:20.072
856,32507.6,2021-07-13 17:20:40.449
899,32489.8,2021-07-13 17:21:00.838
942,32504.45,2021-07-13 17:21:21.196
963,32499.75,2021-07-13 17:21:40.311
1006,32531.5,2021-07-13 17:22:01.385
1049,32532.2,2021-07-13 17:22:22.239
1092,32519.1,2021-07-13 17:22:42.598
1120,32523.0,2021-07-13 17:23:01.265
1161,32523.5,2021-07-13 17:23:23.209
1203,32512.3,2021-07-13 17:23:43.851
1245,32517.0,2021-07-13 17:24:01.356
1288,32499.75,2021-07-13 17:24:19.359
1309,32514.25,2021-07-13 17:24:39.260
1351,32506.9,2021-07-13 17:24:59.258
1393,32516.75,2021-07-13 17:25:19.205
1436,32519.75,2021-07-13 17:25:39.458
1478,32506.25,2021-07-13 17:26:01.552
1499,32526.25,2021-07-13 17:26:19.313
1542,32513.25,2021-07-13 17:26:41.652
1584,32517.8,2021-07-13 17:27:01.549
1626,32513.5,2021-07-13 17:27:25.624
1668,32527.5,2021-07-13 17:27:47.443
1696,32530.75,2021-07-13 17:28:01.517
1739,32529.25,2021-07-13 17:28:24.603
1782,32527.0,2021-07-13 17:28:39.126
1824,32521.65,2021-07-13 17:28:59.502
1846,32518.0,2021-07-13 17:29:19.509
1889,32491.8,2021-07-13 17:29:40.226
1928,32501.5,2021-07-13 17:30:00.645
1971,32545.35,2021-07-13 17:30:21.025
2014,32559.0,2021-07-13 17:30:41.405
2057,32554.35,2021-07-13 17:31:01.761
2078,32549.85,2021-07-13 17:31:19.129
2121,32540.85,2021-07-13 17:31:39.233
2164,32525.25,2021-07-13 17:31:59.296
2207,32516.1,2021-07-13 17:32:20.442
2250,32519.0,2021-07-13 17:32:43.609
2271,32538.1,2021-07-13 17:32:59.228
2322,32563.0,2021-07-13 17:33:24.522
2364,32572.1,2021-07-13 17:33:44.876
2385,32575.6,2021-07-13 17:33:59.447
2427,32572.75,2021-07-13 17:34:21.447
2469,32564.25,2021-07-13 17:34:43.417
2508,32571.0,2021-07-13 17:35:03.278
2549,32564.45,2021-07-13 17:35:21.778
2591,32594.25,2021-07-13 17:35:49.222
2612,32623.1,2021-07-13 17:36:00.243
2654,32620.25,2021-07-13 17:36:22.325
2696,32613.5,2021-07-13 17:36:44.417
2738,32608.5,2021-07-13 17:37:02.400
2780,32608.25,2021-07-13 17:37:24.168
2801,32601.35,2021-07-13 17:37:39.400
2843,32586.25,2021-07-13 17:38:01.260
2888,32588.6,2021-07-13 17:38:24.576
2930,32591.75,2021-07-13 17:38:46.543
2973,32592.75,2021-07-13 17:39:01.174
2993,32586.25,2021-07-13 17:39:19.300
3036,32587.0,2021-07-13 17:39:39.384
3079,32593.75,2021-07-13 17:39:59.467
3121,32585.65,2021-07-13 17:40:25.560
3162,32567.25,2021-07-13 17:40:47.304
3205,32568.65,2021-07-13 17:41:02.206
3225,32570.9,2021-07-13 17:41:20.245
3263,32565.1,2021-07-13 17:41:40.915
3303,32569.7,2021-07-13 17:42:01.957
3343,32568.7,2021-07-13 17:42:19.217
3385,32567.45,2021-07-13 17:42:40.246
3398,32564.5,2021-07-13 17:43:00.596
3437,32564.2,2021-07-13 17:43:20.978
3478,32568.5,2021-07-13 17:43:41.345
3519,32565.2,2021-07-13 17:44:01.432
3560,32565.7,2021-07-13 17:44:22.070
3580,32565.7,2021-07-13 17:44:39.683
3623,32560.45,2021-07-13 17:45:01.303
3664,32565.25,2021-07-13 17:45:23.203
3706,32576.0,2021-07-13 17:45:43.605
3748,32584.45,2021-07-13 17:46:01.527
3789,32584.15,2021-07-13 17:46:26.994
3810,32572.0,2021-07-13 17:46:40.372
3852,32584.6,2021-07-13 17:47:00.322
3892,32591.25,2021-07-13 17:47:23.354
3931,32591.0,2021-07-13 17:47:39.506
3963,32590.0,2021-07-13 17:48:01.384
3993,32568.75,2021-07-13 17:48:19.407
4033,32572.5,2021-07-13 17:48:41.637
4075,32575.95,2021-07-13 17:49:01.391
4117,32577.85,2021-07-13 17:49:23.831
4159,32576.85,2021-07-13 17:49:41.236
4175,32574.85,2021-07-13 17:50:01.021
4217,32576.85,2021-07-13 17:50:21.507
4259,32567.95,2021-07-13 17:50:45.457
4301,32564.15,2021-07-13 17:51:01.985
4342,32563.95,2021-07-13 17:51:23.265
4363,32559.95,2021-07-13 17:51:40.453
4405,32572.0,2021-07-13 17:52:01.512
4447,32557.1,2021-07-13 17:52:24.329
4490,32562.85,2021-07-13 17:52:46.902
4521,32554.85,2021-07-13 17:53:01.363
4562,32530.0,2021-07-13 17:53:23.428
4604,32534.5,2021-07-13 17:53:46.657
4645,32536.5,2021-07-13 17:54:02.121
4663,32536.25,2021-07-13 17:54:19.472
4701,32532.5,2021-07-13 17:54:41.621
4742,32524.9,2021-07-13 17:55:01.405
